time,voltage,stim
0.0,-80.0,0.0
0.025,-80.002106,0.0
0.05,-80.003914,0.0
0.075,-80.00554,0.0
0.1,-80.00701,0.0
0.125,-80.00835,0.0
0.15,-80.009575,0.0
0.175,-80.01069,0.0
0.2,-80.011696,0.0
0.225,-80.01261,0.0
0.25,-80.013435,0.0
0.275,-80.014175,0.0
0.3,-80.01484,0.0
0.325,-80.01542,0.0
0.35,-80.01592,0.0
0.375,-80.016365,0.0
0.4,-80.01673,0.0
0.425,-80.01703,0.0
0.45,-80.017265,0.0
0.475,-80.01744,0.0
0.5,-80.017555,0.0
0.525,-80.01761,0.0
0.55,-80.01761,0.0
0.575,-80.017555,0.0
0.6,-80.01745,0.0
0.625,-80.01729,0.0
0.65,-80.017075,0.0
0.675,-80.016815,0.0
0.7,-80.01651,0.0
0.725,-80.01615,0.0
0.75,-80.015755,0.0
0.775,-80.015305,0.0
0.8,-80.01482,0.0
0.825,-80.014275,0.0
0.85,-80.0137,0.0
0.875,-80.013084,0.0
0.9,-80.01242,0.0
0.925,-80.01172,0.0
0.95,-80.01098,0.0
0.975,-80.01019,0.0
1.0,-80.00938,0.0
1.025,-80.00852,0.0
1.05,-80.00762,0.0
1.075,-80.00669,0.0
1.1,-80.00572,0.0
1.125,-80.00472,0.0
1.15,-80.00368,0.0
1.175,-80.0026,0.0
1.2,-80.001495,0.0
1.225,-80.00035,0.0
1.25,-79.99917,0.0
1.275,-79.99796,0.0
1.3,-79.99671,0.0
1.325,-79.99544,0.0
1.35,-79.994125,0.0
1.375,-79.99278,0.0
1.4,-79.99141,0.0
1.425,-79.990005,0.0
1.45,-79.98856,0.0
1.475,-79.9871,0.0
1.5,-79.985596,0.0
1.525,-79.98407,0.0
1.55,-79.982506,0.0
1.575,-79.98092,0.0
1.6,-79.9793,0.0
1.625,-79.97765,0.0
1.65,-79.975975,0.0
1.675,-79.974266,0.0
1.7,-79.97253,0.0
1.725,-79.970764,0.0
1.75,-79.96897,0.0
1.775,-79.96715,0.0
1.8,-79.9653,0.0
1.825,-79.963425,0.0
1.85,-79.96152,0.0
1.875,-79.95958,0.0
1.9,-79.95763,0.0
1.925,-79.955635,0.0
1.95,-79.95362,0.0
1.975,-79.95158,0.0
2.0,-79.94951,0.0
2.025,-79.94742,0.0
2.05,-79.9453,0.0
2.075,-79.94315,0.0
2.1,-79.94098,0.0
2.125,-79.93878,0.0
2.15,-79.936554,0.0
2.175,-79.9343,0.0
2.2,-79.93203,0.0
2.225,-79.929726,0.0
2.25,-79.9274,0.0
2.275,-79.92505,0.0
2.3,-79.922676,0.0
2.325,-79.92027,0.0
2.35,-79.91785,0.0
2.375,-79.9154,0.0
2.4,-79.91292,0.0
2.425,-79.91042,0.0
